_;wappen_URL;Club;League;League_URL;League1;Value_Nov_1_2010_URL;Value_Nov_1_2010;Current_value_URL;Current_value;_1
,16;https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2023;AFC Bournemouth;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2011;€3.43m;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2023;€271.00m;7812.4 %
,17;https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham FC;Premier League;;;https://www.transfermarkt.com/fc-fulham/kader/verein/931/saison_id/2011;€106.75m;https://www.transfermarkt.com/fulham-fc/kader/verein/931/saison_id/2023;€249.00m;133.3 %
,18;https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2023;Burnley FC;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/fc-burnley/kader/verein/1132/saison_id/2011;€25.38m;https://www.transfermarkt.com/burnley-fc/kader/verein/1132/saison_id/2023;€190.85m;652.1 %
,19;https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2023;Sheffield United;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2011;€16.45m;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2023;€104.50m;535.3 %
,20;https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023;Luton Town;National League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/CNAT;National League;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2011;€1.28m;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2023;€50.50m;3853.0 %
,1;https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal FC;Premier League;;;https://www.transfermarkt.com/fc-arsenal/kader/verein/11/saison_id/2012;€282.75m;https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2023;€1.21bn;326.3 %
,2;https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;;;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2012;€489.25m;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2023;€1.18bn;141.5 %
,3;https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea FC;Premier League;;;https://www.transfermarkt.com/fc-chelsea/kader/verein/631/saison_id/2012;€392.00m;https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2023;€879.50m;124.4 %
,4;https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool FC;Premier League;;;https://www.transfermarkt.com/fc-liverpool/kader/verein/31/saison_id/2012;€220.60m;https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2023;€846.80m;283.9 %
,5;https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;;;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2012;€437.65m;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2023;€845.30m;93.1 %
