_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2013,Manchester City,€115.50m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2013,16,€11.30m,18,€-104.20m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2013,Manchester United,€77.13m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2013,18,€1.80m,20,€-75.33m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2013,Liverpool FC,€58.10m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2013,18,€32.50m,23,€-25.60m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2013,Arsenal FC,€49.25m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2013,21,€12.15m,23,€-37.10m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/cardiff-city/transfers/verein/603/saison_id/2013,Cardiff City,€45.82m,https://www.transfermarkt.com/cardiff-city/transfers/verein/603/w_s//pos//saison_id/2013,32,€3.74m,29,€-42.08m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2013,Southampton FC,€39.60m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2013,15,€4.20m,23,€-35.40m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/saison_id/2013,Sunderland AFC,€33.91m,https://www.transfermarkt.com/afc-sunderland/transfers/verein/289/w_s//pos//saison_id/2013,36,€22.38m,33,€-11.53m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2013,Crystal Palace,€33.00m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2013,42,-,32,€-33.00m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2013,Everton FC,€31.80m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2013,19,€46.10m,19,€14.30m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/hull-city/transfers/verein/3008/saison_id/2013,Hull City,€31.10m,https://www.transfermarkt.com/hull-city/transfers/verein/3008/w_s//pos//saison_id/2013,32,€880k,32,€-30.22m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2013,Norwich City,€30.05m,https://www.transfermarkt.com/norwich-city/transfers/verein/1123/w_s//pos//saison_id/2013,21,€4.84m,21,€-25.22m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2013,Fulham FC,€29.30m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2013,33,€4.15m,29,€-25.15m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/swansea-city/transfers/verein/2288/saison_id/2013,Swansea City,€26.61m,https://www.transfermarkt.com/swansea-city/transfers/verein/2288/w_s//pos//saison_id/2013,24,-,17,€-26.61m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2013,West Ham United,€24.00m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2013,24,€530k,19,€-23.47m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2013,Aston Villa,€19.84m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2013,33,€8.10m,29,€-11.74m
