_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2021,Tottenham Hotspur,€95.90m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2021,14,€34.62m,19,€-61.28m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2021,Liverpool FC,€87.00m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2021,14,€29.55m,12,€-57.45m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2021,Crystal Palace,€85.62m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2021,13,-,16,€-85.62m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2021,Brighton & Hove Albion,€75.00m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2021,26,€78.50m,29,€3.50m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2021,West Ham United,€74.50m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2021,10,€4.24m,8,€-70.27m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2021,Leicester City,€67.60m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2021,11,€4.00m,11,€-63.60m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/norwich-city/transfers/verein/1123/saison_id/2021,Norwich City,€63.55m,https://www.transfermarkt.com/norwich-city/transfers/verein/1123/w_s//pos//saison_id/2021,32,€38.40m,31,€-25.15m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2021,Leeds United,€59.30m,https://www.transfermarkt.com/leeds-united/transfers/verein/399/w_s//pos//saison_id/2021,13,-,14,€-59.30m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2021,Burnley FC,€49.40m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2021,8,€40.50m,6,€-8.90m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-watford/transfers/verein/1010/saison_id/2021,Watford FC,€43.50m,https://www.transfermarkt.com/fc-watford/transfers/verein/1010/w_s//pos//saison_id/2021,31,€12.85m,29,€-30.65m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2021,Southampton FC,€43.10m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2021,10,€60.35m,14,€17.25m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2021,Everton FC,€39.50m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2021,14,€46.00m,15,€6.50m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2021,Wolverhampton Wanderers,€37.60m,https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/w_s//pos//saison_id/2021,26,€31.80m,22,€-5.80m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-brentford/transfers/verein/1148/saison_id/2021,Brentford FC,€36.70m,https://www.transfermarkt.com/fc-brentford/transfers/verein/1148/w_s//pos//saison_id/2021,18,€1.00m,15,€-35.70m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2022,Chelsea FC,€611.49m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2022,24,€67.83m,23,€-543.66m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2022,Manchester United,€243.28m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2022,25,€13.25m,19,€-230.03m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/nottingham-forest/transfers/verein/703/saison_id/2022,Nottingham Forest,€195.25m,https://www.transfermarkt.com/nottingham-forest/transfers/verein/703/w_s//pos//saison_id/2022,41,€5.00m,26,€-190.25m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2022,West Ham United,€194.00m,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2022,13,€21.55m,13,€-172.45m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2022,Arsenal FC,€192.36m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2022,25,€23.80m,18,€-168.56m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2022,Newcastle United,€185.35m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2022,17,€14.06m,13,€-171.29m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2022,Tottenham Hotspur,€177.90m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2022,15,€38.75m,14,€-139.15m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2022,Wolverhampton Wanderers,€177.11m,https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/w_s//pos//saison_id/2022,30,€62.87m,27,€-114.24m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2022,Manchester City,€152.50m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2022,27,€162.17m,23,€9.67m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leeds-united/transfers/verein/399/saison_id/2022,Leeds United,€151.39m,https://www.transfermarkt.com/leeds-united/transfers/verein/399/w_s//pos//saison_id/2022,25,€114.50m,19,€-36.89m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2022,Southampton FC,€142.15m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2022,21,€5.50m,14,€-136.65m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2022,Liverpool FC,€137.30m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2022,8,€80.70m,11,€-56.60m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2022,Aston Villa,€100.14m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2022,23,€54.00m,22,€-46.14m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2022,AFC Bournemouth,€83.10m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2022,18,-,13,€-83.10m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2022,Everton FC,€78.20m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2022,15,€103.60m,18,€25.40m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2022,Fulham FC,€71.20m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2022,20,€21.90m,21,€-49.30m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2022,Brighton & Hove Albion,€55.73m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2022,21,€137.90m,23,€82.17m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-brentford/transfers/verein/1148/saison_id/2022,Brentford FC,€51.50m,https://www.transfermarkt.com/fc-brentford/transfers/verein/1148/w_s//pos//saison_id/2022,22,€3.60m,20,€-47.90m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/leicester-city/transfers/verein/1003/saison_id/2022,Leicester City,€48.00m,https://www.transfermarkt.com/leicester-city/transfers/verein/1003/w_s//pos//saison_id/2022,10,€81.40m,9,€33.40m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2022,Crystal Palace,€46.60m,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2022,14,€5.46m,12,€-41.15m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2023,Arsenal FC,€231.60m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2023,10,€25.70m,4,€-205.90m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2023,Chelsea FC,€139.00m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2023,16,€253.90m,16,€114.90m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2023,Tottenham Hotspur,€136.30m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2023,13,€11.60m,6,€-124.70m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2023,Manchester United,€116.70m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2023,6,€25.50m,9,€-91.20m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2023,Newcastle United,€116.00m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2023,7,€44.60m,8,€-71.40m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2023,Liverpool FC,€112.00m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2023,5,€60.70m,11,€-51.30m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/aston-villa/transfers/verein/405/saison_id/2023,Aston Villa,€88.00m,https://www.transfermarkt.com/aston-villa/transfers/verein/405/w_s//pos//saison_id/2023,6,€2.90m,6,€-85.10m
"
  ,8
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/saison_id/2023,Brighton & Hove Albion,€74.20m,https://www.transfermarkt.com/brighton-amp-hove-albion/transfers/verein/1237/w_s//pos//saison_id/2023,23,€45.95m,12,€-28.25m
"
  ,9
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/saison_id/2023,AFC Bournemouth,€69.69m,https://www.transfermarkt.com/afc-bournemouth/transfers/verein/989/w_s//pos//saison_id/2023,10,-,12,€-69.69m
"
  ,10
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/saison_id/2023,Burnley FC,€65.70m,https://www.transfermarkt.com/fc-burnley/transfers/verein/1132/w_s//pos//saison_id/2023,12,€2.30m,7,€-63.40m
"
  ,11
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-brentford/transfers/verein/1148/saison_id/2023,Brentford FC,€64.85m,https://www.transfermarkt.com/fc-brentford/transfers/verein/1148/w_s//pos//saison_id/2023,13,€6.50m,11,€-58.35m
"
  ,12
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/saison_id/2023,Wolverhampton Wanderers,€61.00m,https://www.transfermarkt.com/wolverhampton-wanderers/transfers/verein/543/w_s//pos//saison_id/2023,13,€105.70m,15,€44.70m
"
  ,13
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/nottingham-forest/transfers/verein/703/saison_id/2023,Nottingham Forest,€34.50m,https://www.transfermarkt.com/nottingham-forest/transfers/verein/703/w_s//pos//saison_id/2023,13,€5.80m,14,€-28.70m
"
  ,14
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2023,Manchester City,€29.10m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2023,6,€40.00m,7,€10.90m
"
  ,15
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-fulham/transfers/verein/931/saison_id/2023,Fulham FC,€28.90m,https://www.transfermarkt.com/fc-fulham/transfers/verein/931/w_s//pos//saison_id/2023,7,-,8,€-28.90m
"
  ,16
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/luton-town/transfers/verein/1031/saison_id/2023,Luton Town,€19.85m,https://www.transfermarkt.com/luton-town/transfers/verein/1031/w_s//pos//saison_id/2023,10,-,9,€-19.85m
"
  ,17
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/sheffield-united/transfers/verein/350/saison_id/2023,Sheffield United,€13.10m,https://www.transfermarkt.com/sheffield-united/transfers/verein/350/w_s//pos//saison_id/2023,4,€17.00m,6,€3.90m
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-everton/transfers/verein/29/saison_id/2023,Everton FC,€4.20m,https://www.transfermarkt.com/fc-everton/transfers/verein/29/w_s//pos//saison_id/2023,10,€39.00m,9,€34.80m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-ham-united/transfers/verein/379/saison_id/2023,West Ham United,-,https://www.transfermarkt.com/west-ham-united/transfers/verein/379/w_s//pos//saison_id/2023,2,€118.60m,3,€118.60m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/crystal-palace/transfers/verein/873/saison_id/2023,Crystal Palace,-,https://www.transfermarkt.com/crystal-palace/transfers/verein/873/w_s//pos//saison_id/2023,3,-,5,
